Date,Close
2015-03-03,13.37
2015-03-04,13.61
2015-03-05,14.33
2015-03-06,15.1
2015-03-09,14.18
2015-03-10,13.1
2015-03-11,12.51
2015-03-12,13.27
2015-03-13,13.25
2015-03-16,13.09
2015-03-17,13.25
2015-03-18,12.67
2015-03-19,12.87
2015-03-20,12.48
2015-03-23,12.6
2015-03-24,12.25
2015-03-25,11.87
2015-03-26,12.23
2015-03-27,13.09
2015-03-30,13.22
2015-03-31,13.19
2015-04-01,13.07
2015-04-02,13.36
2015-04-06,12.95
2015-04-07,13.27
2015-04-08,12.91
2015-04-09,13.22
2015-04-10,13.23
2015-04-13,13.35
2015-04-14,13.02
2015-04-15,13.65
2015-04-16,13.99
2015-04-17,13.65
2015-04-20,13.31
2015-04-21,13.35
2015-04-22,13.38
2015-04-23,13.9
2015-04-24,13.47
2015-04-27,13
2015-04-28,13.21
2015-04-29,12.85
2015-04-30,12.57
2015-05-01,12.75
2015-05-04,12.18
2015-05-05,12.11
2015-05-06,10.62
2015-05-07,10.92
2015-05-08,10.26
2015-05-11,10.58
2015-05-12,10.2
2015-05-13,9.82
2015-05-14,10.09
2015-05-15,10.54
2015-05-18,10.71
2015-05-19,10.37
2015-05-20,10.09
2015-05-21,10.01
2015-05-22,9.95
2015-05-26,9.79
2015-05-27,9.9
2015-05-28,9.82
2015-05-29,9.47
2015-06-01,9.29
2015-06-02,9.77
2015-06-03,9.89
2015-06-04,9.26
2015-06-05,9.13
2015-06-08,8.99
2015-06-09,8.86
2015-06-10,8.79
2015-06-11,9.03
2015-06-12,9.15
2015-06-15,8.97
2015-06-16,9.07
2015-06-17,9.05
2015-06-18,9
2015-06-19,9.09
2015-06-22,8.89
2015-06-23,8.87
2015-06-24,8.68
2015-06-25,8.5
2015-06-26,8.06
2015-06-29,7.84
2015-06-30,7.61
2015-07-01,7.61
2015-07-02,7.62
2015-07-06,7.45
2015-07-07,7.57
2015-07-08,6.2
2015-07-09,5.87
2015-07-10,5.99
2015-07-13,6.33
2015-07-14,6.68
2015-07-15,6.3
2015-07-16,6.33
2015-07-17,6.45
2015-07-20,6.16
2015-07-21,6.21
2015-07-22,5.88
2015-07-23,5.72
2015-07-24,5.76
2015-07-27,5.64
2015-07-28,5.63
2015-07-29,5.97
2015-07-30,5.99
2015-07-31,5.91
2015-08-03,5.47
2015-08-04,5.64
2015-08-05,6.98
2015-08-06,6.84
2015-08-07,6.24
2015-08-10,6.14
2015-08-11,5.67
2015-08-12,5.57
2015-08-13,5.44
2015-08-14,5.5
2015-08-17,5.6
2015-08-18,5.01
2015-08-19,4.97
2015-08-20,4.51
2015-08-21,4.42
2015-08-24,4.86
2015-08-25,4.34
